"job_title_short","job_country","yearly_salary"
"Senior Data Scientist","South Africa","406207.00"
"Data Analyst","Belarus","400000.00"
"Senior Data Scientist","Puerto Rico","375000.00"
"Software Engineer","Russia","320000.00"
"Cloud Engineer","Russia","280000.00"
"Data Scientist","Russia","250000.00"
"Machine Learning Engineer","Bahamas","228750.00"
"Data Engineer","Bahamas","219405.50"
"Cloud Engineer","Brazil","204000.00"
"Machine Learning Engineer","Colombia","201666.67"
"Machine Learning Engineer","Guam","195000.00"
"Data Scientist","Cyprus","191000.00"
"Senior Data Engineer","Namibia","190000.00"
"Cloud Engineer","Argentina","190000.00"
"Senior Data Engineer","Bahamas","183928.57"
"Software Engineer","Bahamas","182875.00"
"Machine Learning Engineer","Sri Lanka","182325.00"
"Data Engineer","Brunei","177500.00"
"Business Analyst","Panama","170500.00"
"Senior Data Scientist","Sweden","170000.00"
"Senior Data Scientist","Japan","169833.33"
"Machine Learning Engineer","Sudan","166997.49"
"Data Scientist","United Arab Emirates","166419.50"
"Machine Learning Engineer","Chile","166000.00"
"Machine Learning Engineer","Tunisia","166000.00"
"Senior Data Engineer","Switzerland","165000.00"
"Machine Learning Engineer","Latvia","164500.00"
"Senior Data Scientist","Thailand","161250.00"
"Senior Data Analyst","Panama","160000.00"
"Senior Data Scientist","Ireland","158104.88"
"Senior Data Engineer","Brazil","157800.00"
"Data Scientist","Pakistan","157500.00"
"Senior Data Scientist","Czechia","157500.00"
"Senior Data Scientist","Ukraine","157500.00"
"Senior Data Scientist","Albania","157500.00"
"Senior Data Scientist","Slovenia","157500.00"
"Senior Data Scientist","Dominican Republic","157500.00"
"Software Engineer","Sweden","156500.00"
"Data Scientist","Lithuania","156250.00"
"Senior Data Engineer","Cyprus","155500.00"
"Data Analyst","","155485.50"
"Senior Data Engineer","Bulgaria","153700.00"
"Data Engineer","Peru","153600.00"
"Data Engineer","Paraguay","153600.00"
"Data Engineer","Bolivia","153600.00"
"Data Engineer","Venezuela","153600.00"
"Data Engineer","Jamaica","153600.00"
"Senior Data Scientist","Mexico","152738.89"
"Senior Data Scientist","Bulgaria","152500.00"
"Senior Data Scientist","United States","152339.54"
"Machine Learning Engineer","United States","151701.76"
"Data Scientist","Luxembourg","149166.67"
"Machine Learning Engineer","Canada","148985.53"
"Senior Data Scientist","Germany","148728.57"
"Senior Data Engineer","Sudan","147708.05"
"Data Engineer","Kenya","147500.00"
"Senior Data Engineer","Hungary","147500.00"
"Senior Data Engineer","Tunisia","147500.00"
"Data Engineer","Slovakia","147500.00"
"Senior Data Engineer","Argentina","147500.00"
"Data Engineer","Côte d'Ivoire","147500.00"
"Senior Data Engineer","Indonesia","147500.00"
"Senior Data Engineer","Denmark","147500.00"
"Senior Data Engineer","El Salvador","147500.00"
"Senior Data Engineer","South Africa","147500.00"
"Senior Data Engineer","Slovakia","147500.00"
"Data Engineer","Nepal","147500.00"
"Senior Data Engineer","Serbia","147500.00"
"Senior Data Engineer","Sweden","147500.00"
"Machine Learning Engineer","Finland","145400.00"
"Business Analyst","Namibia","145000.00"
"Data Engineer","Bulgaria","144972.00"
"Data Engineer","New Zealand","144857.40"
"Senior Data Engineer","United States","144801.03"
"Senior Data Engineer","Mexico","144738.89"
"Senior Data Scientist","Sudan","144463.32"
"Senior Data Scientist","France","142300.00"
"Senior Data Scientist","Brazil","141330.25"
"Machine Learning Engineer","Portugal","140967.25"
"Software Engineer","Brazil","140840.00"
"Machine Learning Engineer","Romania","140366.67"
"Machine Learning Engineer","United Kingdom","139564.43"
"Software Engineer","Colombia","139450.00"
"Senior Data Scientist","Spain","138864.86"
"Data Scientist","Netherlands","138275.31"
"Senior Data Engineer","Sri Lanka","138058.33"
"Data Scientist","New Zealand","137959.75"
"Senior Data Scientist","Israel","137925.00"
"Senior Data Scientist","Singapore","137925.00"
"Senior Data Engineer","Costa Rica","137766.67"
"Senior Data Engineer","United Kingdom","137550.02"
"Senior Data Engineer","Ireland","137520.00"
"Senior Data Scientist","Guam","137500.00"
"Senior Data Engineer","Netherlands","137420.00"
"Data Engineer","Japan","137195.75"
"Senior Data Engineer","France","135671.53"
"Machine Learning Engineer","Denmark","135650.00"
"Software Engineer","France","135491.85"
"Machine Learning Engineer","Ireland","135380.00"
"Data Analyst","Namibia","135000.00"
"Data Engineer","Austria","135000.00"
"Senior Data Engineer","New Zealand","134818.25"
"Senior Data Scientist","Canada","133578.82"
"Machine Learning Engineer","Taiwan","133514.50"
"Senior Data Engineer","India","133508.43"
"Data Scientist","Sweden","133452.86"
"Data Analyst","Malta","133141.00"
"Senior Data Engineer","Czechia","132900.00"
"Senior Data Engineer","Austria","132900.00"
"Data Scientist","Portugal","132849.52"
"Data Engineer","Hungary","132844.77"
"Data Engineer","Sweden","132392.81"
"Data Scientist","United States","132014.89"
"Data Engineer","Costa Rica","131780.82"
"Senior Data Scientist","Kazakhstan","131575.00"
"Machine Learning Engineer","Argentina","131009.67"
"Senior Data Engineer","South Korea","130425.00"
"Senior Data Scientist","Poland","130279.82"
"Machine Learning Engineer","South Korea","129927.27"
"Data Engineer","Germany","129822.63"
"Data Engineer","Ireland","129813.00"
"Data Scientist","Israel","129731.65"
"Data Engineer","United States","129653.05"
"Software Engineer","Romania","129650.00"
"Machine Learning Engineer","Sweden","129283.33"
"Software Engineer","United States","129074.53"
"Machine Learning Engineer","Netherlands","128995.00"
"Senior Data Scientist","United Kingdom","128977.45"
"Data Engineer","Switzerland","128880.75"
"Software Engineer","Namibia","128750.00"
"Machine Learning Engineer","Norway","128682.00"
"Senior Data Analyst","Ireland","128513.33"
"Software Engineer","Canada","128102.57"
"Data Scientist","Japan","128102.17"
"Data Engineer","Morocco","127614.17"
"Senior Data Engineer","Germany","127552.81"
"Software Engineer","Mexico","127450.00"
"Data Analyst","Chile","127250.00"
"Senior Data Engineer","Vietnam","127125.00"
"Data Scientist","Canada","126985.23"
"Data Scientist","Sudan","126189.89"
"Senior Data Scientist","Portugal","126152.82"
"Senior Data Scientist","India","126035.79"
"Senior Data Scientist","Netherlands","125966.67"
"Senior Data Analyst","Romania","125812.50"
"Data Engineer","Cyprus","125753.50"
"Data Engineer","Mexico","125630.58"
"Software Engineer","Sudan","125625.77"
"Senior Data Analyst","Canada","125587.50"
"Data Engineer","United Arab Emirates","125498.75"
