"skills","yearly_salary_avg"
"debian","196500"
"lua","170500"
"asp.net core","155000"
"dplyr","154938"
"mongo","151928"
"solidity","150582"
"gatsby","147500"
"mlr","145000"
"couchdb","144167"
"node","143011"
"ringcentral","142500"
"heroku","141667"
"cassandra","141650"
"golang","140875"
"neo4j","140801"
"ruby on rails","140130"
"pytorch","140108"
"airflow","139709"
"clojure","139342"
"kafka","138868"
"scala","137997"
"atlassian","137573"
"tensorflow","137131"
"codecommit","137116"
"spark","136635"
"rust","136419"
"watson","136399"
"airtable","136380"
"next.js","135663"
"kubernetes","135649"
"scikit-learn","135085"
"redis","135011"
"redshift","134724"
"fastapi","133052"
"fastify","133000"
"pandas","132999"
"numpy","132710"
"dynamodb","132701"
"snowflake","132396"
"arch","132376"
"seaborn","132349"
"no-sql","132174"
"hadoop","131960"
"objective-c","131825"
"shell","131807"
"splunk","131801"
"keras","131606"
"typescript","131118"
"pyspark","131052"
"jupyter","130859"
"nosql","130592"
"bigquery","130332"
"aws","130262"
"terraform","129892"
"java","129766"
"elasticsearch","129536"
"matplotlib","129502"
"couchbase","129259"
"c++","129009"
"rshiny","129000"
"hugging face","128877"
"datarobot","128863"
"gcp","128821"
"docker","128564"
"theano","128386"
"databricks","127761"
"angular.js","127050"
"python","126953"
"express","126812"
"flask","126726"
"ruby","126531"
"looker","126515"
"chef","126456"
"mongodb","126436"
"vue","126415"
"nltk","126410"
"mysql","126408"
"ubuntu","126282"
"twilio","126210"
"notion","126118"
"gitlab","126066"
"graphql","125836"
"centos","125781"
"c","125565"
"aurora","125557"
"kotlin","125506"
"julia","125310"
"gdpr","125197"
"azure","125139"
"suse","125000"
"sqlite","124976"
"haskell","124812"
"jenkins","124603"
"opencv","124506"
"git","124488"
"asana","124372"
"tidyverse","124196"
"perl","124145"
"node.js","124130"
"linux","123728"
"plotly","123675"
"go","123621"
"puppet","123549"
"ggplot2","123538"
"ansible","123391"
"mxnet","123197"
"postgresql","123066"
"svn","122342"
"bitbucket","121906"
"unity","121681"
"erlang","121583"
"xamarin","121250"
"django","120813"
"r","120669"
"slack","120313"
"github","120111"
"php","119957"
"redhat","119653"
"c#","119586"
"sql","119409"
"bash","119223"
"unify","118854"
"unix","118824"
"zoom","118752"
"jira","118461"
"confluence","118355"
"phoenix","117958"
"mariadb","117785"
"swift","117570"
"react","117364"
"db2","117070"
"angular","116267"
"matlab","115811"
"microstrategy","115531"
"groovy","115152"
"selenium","114808"
"electron","114678"
"jquery","114188"
"flow","113342"
"unreal","113115"
"vmware","112875"
"yarn","112864"
"lisp","112432"
"ibm cloud","112178"
"elixir","112073"
"powershell","111949"
"pulumi","111772"
"tableau","111470"
"spring","110985"
"oracle","110344"
"ssis","110095"
"qt","110000"
"cordova","109758"
"sql server","109313"
"css","109176"
"firebase","109095"
"assembly","108690"
"qlik","108615"
"react.js","108608"
"javascript","108520"
"windows","108380"
"t-sql","108085"
"sass","107887"
"asp.net","107048"
"terminal","106786"
"alteryx","106444"
"dax","106161"
"html","106122"
"sas","106054"
"drupal","105234"
"clickup","105000"
"chainer","105000"
"vue.js","102983"
"power bi","102544"
"digitalocean","102395"
"dart","102360"
"openstack","101674"
"workfront","101648"
"wrike","101250"
"ssrs","100999"
"fortran","100798"
"visio","99411"
"colocation","99304"
"delphi","98496"
"sap","98329"
"npm","97030"
"homebrew","96773"
"spss","96508"
"wire","96117"
"vba","95821"
"visual basic","94868"
"svelte","94575"
"crystal","94496"
"sharepoint","94440"
"cognos","93537"
"powerpoint","93396"
"cobol","92424"
"pascal","92000"
"excel","91528"
"word","91107"
"trello","90655"
"macos","90111"
"symphony","89120"
"kali","89100"
"sheets","87720"
"ms access","87295"
"blazor","87100"
"firestore","86414"
"spreadsheet","85048"
"outlook","84148"
"vb.net","84132"
"laravel","82200"
"microsoft teams","82030"
"planner","79410"
"monday.com","79220"
"flutter","78802"
"smartsheet","78151"
"webex","73719"
"apl","67956"
"microsoft lists","48000"
